Timestamp,PWM Value,Height Tank 1,Height Tank 2
2024-10-17 13:08:33,100.40866666666669,229,333
2024-10-17 13:08:36,66.80000000000003,258,330
2024-10-17 13:08:39,50.17000000000002,259,334
2024-10-17 13:08:43,1,273,334
2024-10-17 13:08:46,1,254,339
2024-10-17 13:08:49,1,238,340
2024-10-17 13:08:52,1,227,337
2024-10-17 13:08:55,49.65400000000002,222,332
2024-10-17 13:08:58,145.3526666666667,231,324
2024-10-17 13:09:01,255,279,325
2024-10-17 13:09:04,129.8166666666667,319,331
2024-10-17 13:09:07,1,340,344
2024-10-17 13:09:11,1,308,355
2024-10-17 13:09:14,1,279,364
2024-10-17 13:09:17,1,254,370
2024-10-17 13:09:20,1,235,370
2024-10-17 13:09:23,1,225,365
2024-10-17 13:09:26,1,222,359
2024-10-17 13:09:29,1,221,352
2024-10-17 13:09:32,12.223333333333372,219,343
2024-10-17 13:09:35,131.298,229,336
2024-10-17 13:09:39,161.88733333333337,281,334
2024-10-17 13:09:42,94.53466666666668,313,341
2024-10-17 13:09:45,1,285,349
2024-10-17 13:09:48,1,261,355
2024-10-17 13:09:51,1,241,357
2024-10-17 13:09:54,1,228,354
2024-10-17 13:09:57,1,222,349
2024-10-17 13:10:00,25.484666666666683,231,343
2024-10-17 13:10:03,100.37600000000002,256,342
2024-10-17 13:10:07,17.891333333333343,241,341
2024-10-17 13:10:10,33.887333333333345,243,340
2024-10-17 13:10:13,50.74733333333334,291,342
2024-10-17 13:10:16,1,319,348
